# #1(p) 2(cnum) 3(comp1) 4(comp2) 5(avg_csizes) 6(avg_fcsizes) 7(P)
2.024096385542168471e-03 1.870320000000000107e+02 8.009999999999999787e+00 5.870000000000000107e+00 1.969087999999996841e+00 1.688728000000001339e+00 8.062903999999994298e+00
2.056224899598393767e-03 1.860320000000000107e+02 8.172000000000000597e+00 5.974000000000000199e+00 1.998480000000000922e+00 1.706767999999998509e+00 8.239175999999995170e+00
2.088353413654618629e-03 1.850320000000000107e+02 8.321999999999999176e+00 6.065999999999999837e+00 2.027887999999999469e+00 1.725400000000000267e+00 8.397504000000003188e+00
2.120481927710843491e-03 1.840320000000000107e+02 8.451999999999999957e+00 6.166000000000000369e+00 2.057728000000001334e+00 1.745568000000000453e+00 8.534672000000000480e+00
2.152610441767068353e-03 1.830339999999999918e+02 8.614000000000000767e+00 6.269999999999999574e+00 2.089823999999998794e+00 1.765272000000001063e+00 8.690304000000001139e+00
2.184738955823293215e-03 1.820360000000000014e+02 8.773999999999999133e+00 6.387999999999999901e+00 2.123727999999999394e+00 1.786280000000001866e+00 8.849992000000003856e+00
2.216867469879518077e-03 1.810380000000000109e+02 8.986000000000000654e+00 6.490000000000000213e+00 2.158831999999999418e+00 1.804583999999998856e+00 9.063328000000002049e+00
2.248995983935742939e-03 1.800380000000000109e+02 9.124000000000000554e+00 6.597999999999999865e+00 2.192559999999999398e+00 1.826896000000000964e+00 9.208287999999999585e+00
2.281124497991967801e-03 1.790420000000000016e+02 9.316000000000000725e+00 6.717999999999999972e+00 2.229632000000001835e+00 1.847663999999999751e+00 9.417824000000003082e+00
2.313253012048192662e-03 1.780500000000000114e+02 9.532000000000000028e+00 6.817999999999999616e+00 2.270592000000001498e+00 1.868304000000001741e+00 9.656703999999994181e+00
2.345381526104417524e-03 1.770519999999999925e+02 9.699999999999999289e+00 6.919999999999999929e+00 2.308096000000003922e+00 1.890287999999999746e+00 9.839048000000000016e+00
2.377510040160642386e-03 1.760639999999999930e+02 9.878000000000000114e+00 7.024000000000000021e+00 2.344544000000001294e+00 1.911448000000000702e+00 1.000782399999999939e+01
2.409638554216867682e-03 1.750660000000000025e+02 1.009200000000000053e+01 7.144000000000000128e+00 2.389328000000003893e+00 1.935616000000001335e+00 1.021551999999999616e+01
2.441767068273092544e-03 1.740699999999999932e+02 1.030599999999999916e+01 7.283999999999999808e+00 2.432656000000003260e+00 1.959864000000002049e+00 1.044042400000000193e+01
2.473895582329317406e-03 1.730720000000000027e+02 1.061599999999999966e+01 7.381999999999999673e+00 2.487760000000000637e+00 1.981440000000002088e+00 1.076624800000000093e+01
2.506024096385542268e-03 1.720759999999999934e+02 1.089799999999999969e+01 7.491999999999999993e+00 2.543264000000000635e+00 2.003192000000001194e+00 1.108478400000000086e+01
2.538152610441767130e-03 1.710800000000000125e+02 1.111999999999999922e+01 7.607999999999999652e+00 2.588800000000002210e+00 2.026927999999998509e+00 1.128836800000000018e+01
2.570281124497991992e-03 1.700840000000000032e+02 1.133000000000000007e+01 7.740000000000000213e+00 2.634079999999999089e+00 2.051463999999999732e+00 1.150570400000000149e+01
2.602409638554216854e-03 1.690920000000000130e+02 1.160399999999999920e+01 7.902000000000000135e+00 2.688960000000000239e+00 2.076479999999999215e+00 1.178182400000000385e+01
