# t er pr apr br abr
1.260000000000000000e+02 4.967000000000000000e+03 9.977000000000000000e+03 2.159000000000000000e+03 2.000000000000000000e+00 1.270000000000000000e+02
1.270000000000000000e+02 5.046000000000000000e+03 1.016900000000000000e+04 2.170000000000000000e+03 2.000000000000000000e+00 1.280000000000000000e+02
1.280000000000000000e+02 5.081000000000000000e+03 1.033600000000000000e+04 2.181000000000000000e+03 2.000000000000000000e+00 1.290000000000000000e+02
1.290000000000000000e+02 5.127000000000000000e+03 1.050300000000000000e+04 2.188000000000000000e+03 2.000000000000000000e+00 1.300000000000000000e+02
1.300000000000000000e+02 5.174000000000000000e+03 1.074100000000000000e+04 2.200000000000000000e+03 2.000000000000000000e+00 1.310000000000000000e+02
1.310000000000000000e+02 5.244000000000000000e+03 1.096700000000000000e+04 2.207000000000000000e+03 2.000000000000000000e+00 1.320000000000000000e+02
1.320000000000000000e+02 5.304000000000000000e+03 1.111500000000000000e+04 2.213000000000000000e+03 2.000000000000000000e+00 1.330000000000000000e+02
1.330000000000000000e+02 5.361000000000000000e+03 1.131200000000000000e+04 2.224000000000000000e+03 2.000000000000000000e+00 1.340000000000000000e+02
1.340000000000000000e+02 5.415000000000000000e+03 1.151200000000000000e+04 2.239000000000000000e+03 2.000000000000000000e+00 1.350000000000000000e+02
1.350000000000000000e+02 5.464000000000000000e+03 1.169300000000000000e+04 2.243000000000000000e+03 2.000000000000000000e+00 1.360000000000000000e+02
1.360000000000000000e+02 5.523000000000000000e+03 1.198100000000000000e+04 2.254000000000000000e+03 2.000000000000000000e+00 1.370000000000000000e+02
1.370000000000000000e+02 5.555000000000000000e+03 1.217800000000000000e+04 2.262000000000000000e+03 2.000000000000000000e+00 1.380000000000000000e+02
1.380000000000000000e+02 5.613000000000000000e+03 1.242000000000000000e+04 2.276000000000000000e+03 2.000000000000000000e+00 1.390000000000000000e+02
1.390000000000000000e+02 5.682000000000000000e+03 1.273900000000000000e+04 2.291000000000000000e+03 2.000000000000000000e+00 1.400000000000000000e+02
1.400000000000000000e+02 5.757000000000000000e+03 1.302000000000000000e+04 2.305000000000000000e+03 2.000000000000000000e+00 1.410000000000000000e+02
1.410000000000000000e+02 5.829000000000000000e+03 1.327500000000000000e+04 2.311000000000000000e+03 2.000000000000000000e+00 1.420000000000000000e+02
1.420000000000000000e+02 5.903000000000000000e+03 1.356700000000000000e+04 2.327000000000000000e+03 2.000000000000000000e+00 1.430000000000000000e+02
1.430000000000000000e+02 5.972000000000000000e+03 1.383800000000000000e+04 2.336000000000000000e+03 2.000000000000000000e+00 1.440000000000000000e+02
1.440000000000000000e+02 6.018000000000000000e+03 1.412400000000000000e+04 2.349000000000000000e+03 2.000000000000000000e+00 1.450000000000000000e+02
1.450000000000000000e+02 6.091000000000000000e+03 1.437800000000000000e+04 2.365000000000000000e+03 2.000000000000000000e+00 1.460000000000000000e+02
1.460000000000000000e+02 6.144000000000000000e+03 1.472000000000000000e+04 2.380000000000000000e+03 2.000000000000000000e+00 1.470000000000000000e+02
1.470000000000000000e+02 6.238000000000000000e+03 1.507800000000000000e+04 2.395000000000000000e+03 2.000000000000000000e+00 1.480000000000000000e+02
1.480000000000000000e+02 6.308000000000000000e+03 1.542900000000000000e+04 2.402000000000000000e+03 2.000000000000000000e+00 1.490000000000000000e+02
1.490000000000000000e+02 6.389000000000000000e+03 1.571100000000000000e+04 2.409000000000000000e+03 2.000000000000000000e+00 1.500000000000000000e+02
1.500000000000000000e+02 6.471000000000000000e+03 1.600000000000000000e+04 2.424000000000000000e+03 2.000000000000000000e+00 1.510000000000000000e+02
1.510000000000000000e+02 6.559000000000000000e+03 1.627800000000000000e+04 2.439000000000000000e+03 2.000000000000000000e+00 1.520000000000000000e+02
1.520000000000000000e+02 6.616000000000000000e+03 1.668000000000000000e+04 2.450000000000000000e+03 2.000000000000000000e+00 1.530000000000000000e+02
1.530000000000000000e+02 6.697000000000000000e+03 1.712700000000000000e+04 2.463000000000000000e+03 2.000000000000000000e+00 1.540000000000000000e+02
1.540000000000000000e+02 6.783000000000000000e+03 1.747900000000000000e+04 2.471000000000000000e+03 2.000000000000000000e+00 1.550000000000000000e+02
1.550000000000000000e+02 6.876000000000000000e+03 1.786000000000000000e+04 2.476000000000000000e+03 2.000000000000000000e+00 1.560000000000000000e+02
1.560000000000000000e+02 6.936000000000000000e+03 1.819600000000000000e+04 2.493000000000000000e+03 2.000000000000000000e+00 1.570000000000000000e+02
1.570000000000000000e+02 7.013000000000000000e+03 1.856600000000000000e+04 2.507000000000000000e+03 2.000000000000000000e+00 1.580000000000000000e+02
1.580000000000000000e+02 7.107000000000000000e+03 1.904800000000000000e+04 2.521000000000000000e+03 2.000000000000000000e+00 1.590000000000000000e+02
1.590000000000000000e+02 7.190000000000000000e+03 1.948800000000000000e+04 2.538000000000000000e+03 2.000000000000000000e+00 1.600000000000000000e+02
1.600000000000000000e+02 7.286000000000000000e+03 1.985700000000000000e+04 2.552000000000000000e+03 2.000000000000000000e+00 1.610000000000000000e+02
1.610000000000000000e+02 7.358000000000000000e+03 2.029100000000000000e+04 2.573000000000000000e+03 2.000000000000000000e+00 1.620000000000000000e+02
1.620000000000000000e+02 7.472000000000000000e+03 2.082700000000000000e+04 2.588000000000000000e+03 2.000000000000000000e+00 1.630000000000000000e+02
1.630000000000000000e+02 7.567000000000000000e+03 2.119600000000000000e+04 2.595000000000000000e+03 2.000000000000000000e+00 1.640000000000000000e+02
1.640000000000000000e+02 7.641000000000000000e+03 2.164400000000000000e+04 2.607000000000000000e+03 2.000000000000000000e+00 1.650000000000000000e+02
1.650000000000000000e+02 7.736000000000000000e+03 2.215500000000000000e+04 2.622000000000000000e+03 2.000000000000000000e+00 1.660000000000000000e+02
1.660000000000000000e+02 7.862000000000000000e+03 2.274600000000000000e+04 2.634000000000000000e+03 2.000000000000000000e+00 1.670000000000000000e+02
1.670000000000000000e+02 7.978000000000000000e+03 2.328900000000000000e+04 2.654000000000000000e+03 2.000000000000000000e+00 1.680000000000000000e+02
1.680000000000000000e+02 8.077000000000000000e+03 2.373200000000000000e+04 2.673000000000000000e+03 2.000000000000000000e+00 1.690000000000000000e+02
1.690000000000000000e+02 8.160000000000000000e+03 2.435600000000000000e+04 2.682000000000000000e+03 2.000000000000000000e+00 1.700000000000000000e+02
1.700000000000000000e+02 8.238000000000000000e+03 2.501200000000000000e+04 2.692000000000000000e+03 2.000000000000000000e+00 1.710000000000000000e+02
1.710000000000000000e+02 8.342000000000000000e+03 2.547900000000000000e+04 2.704000000000000000e+03 2.000000000000000000e+00 1.720000000000000000e+02
1.720000000000000000e+02 8.437000000000000000e+03 2.601600000000000000e+04 2.715000000000000000e+03 2.000000000000000000e+00 1.730000000000000000e+02
1.730000000000000000e+02 8.561000000000000000e+03 2.649900000000000000e+04 2.728000000000000000e+03 2.000000000000000000e+00 1.740000000000000000e+02
1.740000000000000000e+02 8.706000000000000000e+03 2.694100000000000000e+04 2.743000000000000000e+03 2.000000000000000000e+00 1.750000000000000000e+02
1.750000000000000000e+02 8.811000000000000000e+03 2.763000000000000000e+04 2.756000000000000000e+03 2.000000000000000000e+00 1.760000000000000000e+02
1.760000000000000000e+02 8.919000000000000000e+03 2.822000000000000000e+04 2.767000000000000000e+03 2.000000000000000000e+00 1.770000000000000000e+02
1.770000000000000000e+02 9.055000000000000000e+03 2.877600000000000000e+04 2.790000000000000000e+03 2.000000000000000000e+00 1.780000000000000000e+02
1.780000000000000000e+02 9.180000000000000000e+03 2.936400000000000000e+04 2.810000000000000000e+03 2.000000000000000000e+00 1.790000000000000000e+02
